,imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms,opening_weekend,gross_box_office,precount_wins,precount_noms,win,nom,action,animation,news,reality-tv,sci-fi,family,adventure,crime,film-noir,short,biography,history,western,fantasy,musical,romance,talk-show,sport,comedy,horror,drama,mystery,documentary,war,game-show,thriller,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound
30,tt0053735,crack in the mirror,1960,154.0,7.1,7.1,7.1,,,4.0,2.0,97.0,0.0,0.0,,,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
31,tt0053742,the crowded sky,1960,549.0,5.9,5.9,5.9,,,4.0,4.0,105.0,0.0,0.0,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
32,tt0053750,the dark at the top of the stairs,1960,635.0,7.1,7.1,7.1,,,4.0,1.0,124.0,1.0,6.0,,,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,N,O,O,O
33,tt0053762,desire in the dust,1960,111.0,6.0,6.0,6.0,,,4.0,4.0,102.0,0.0,0.0,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
34,tt0053768,dinosaurus!,1960,860.0,5.0,5.0,6.7,0.45,,4.0,2.0,85.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
35,tt0053793,elmer gantry,1960,9454.0,7.8,7.8,9.4,3.0,,4.0,1.0,146.0,8.0,12.0,,,1,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,W,O,O,O,O,O,O,N,N,O,W,W,O,O
36,tt0053800,esther and the king,1960,532.0,5.5,5.5,4.0,,,4.0,4.0,109.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
37,tt0053804,exodus,1960,8326.0,6.7,6.7,6.7,4.0,,4.0,4.0,208.0,4.0,7.0,,,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,N,O,O,O,O,W,O,N,O,O,O,O
38,tt0053810,the facts of life,1960,1153.0,6.5,6.5,6.5,,,4.0,3.0,103.0,0.0,11.0,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,O,O,N,W,O,O,O,O,O,O,O,O,N,O
39,tt0054878,five guns to tombstone,1960,79.0,5.3,5.3,5.3,,,4.0,3.0,71.0,0.0,0.0,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
40,tt0053825,flaming star,1960,2745.0,6.5,6.5,9.1,,,4.0,1.0,101.0,0.0,0.0,,4.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
41,tt0052819,four fast guns,1960,82.0,6.1,6.1,6.1,,,4.0,1.0,72.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
42,tt0053837,freckles,1960,40.0,5.5,5.5,5.5,,,4.0,2.0,83.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
43,tt0053841,from the terrace,1960,2303.0,6.7,6.7,3.1,,,4.0,2.0,149.0,0.0,2.0,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
44,tt0053848,g.i. blues,1960,2977.0,6.3,6.3,0.0,2.0,,4.0,2.0,104.0,0.0,3.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
45,tt0053849,the gallant hours,1960,1288.0,7.1,7.1,7.1,,,4.0,3.0,115.0,0.0,0.0,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
46,tt0053865,girl of the night,1960,47.0,7.3,7.3,7.3,,,4.0,1.0,93.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
47,tt0053877,the grass is greener,1960,4204.0,6.5,6.5,8.8,,,4.0,3.0,104.0,0.0,2.0,,,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
48,tt0053884,guns of the timberland,1960,270.0,5.7,5.7,5.7,,,4.0,2.0,91.0,0.0,0.0,,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
49,tt0053899,hell bent for leather,1960,505.0,6.8,6.8,6.8,0.5,,4.0,1.0,82.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
50,tt0053901,hell to eternity,1960,945.0,7.0,7.0,7.0,0.8,,4.0,3.0,131.0,0.0,2.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
51,tt0053902,heller in pink tights,1960,944.0,6.1,6.1,6.1,3.5,,4.0,1.0,100.0,0.0,0.0,,,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
52,tt0053912,high time,1960,530.0,6.2,6.2,6.2,,,4.0,2.0,103.0,0.0,1.0,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,N,O
53,tt0053917,home from the hill,1960,2694.0,7.4,7.4,9.0,1.82,,4.0,2.0,150.0,3.0,4.0,,,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
54,tt0054993,the horse with the flying tail,1960,120.0,6.7,6.7,6.7,,,4.0,2.0,48.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
55,tt0053925,house of usher,1960,11106.0,7.0,7.5,9.0,0.2,,4.0,2.0,79.0,2.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
56,tt0053930,hyde and go tweet,1960,388.0,7.4,7.4,7.4,,,1.0,4.0,6.0,0.0,0.0,0.01,0.01,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
57,tt0053931,the hypnotic eye,1960,570.0,5.8,5.8,5.8,0.36,,4.0,1.0,79.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
58,tt0053440,i aim at the stars,1960,161.0,6.4,6.4,6.4,,,4.0,2.0,107.0,0.0,0.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
59,tt0053936,ice palace,1960,260.0,6.3,6.3,6.3,,,4.0,3.0,143.0,0.0,0.0,,,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
60,tt0055001,i'll give my life,1960,33.0,6.5,6.5,6.5,,,4.0,1.0,78.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
61,tt0053946,inherit the wind,1960,25298.0,8.1,7.5,9.2,,,4.0,3.0,128.0,3.0,7.0,,,1,6,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,O,N,O,O,N,O,O,O,O,O,N,O,O
62,tt0053957,it started in naples,1960,2129.0,6.4,6.4,0.0,,,4.0,2.0,100.0,0.0,3.0,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
63,tt0053993,key witness,1960,272.0,6.3,6.3,6.3,0.86,,4.0,4.0,82.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,O,O,O,O,O,O,O,O,O,O,O,O,O,O
64,tt0054016,the last voyage,1960,1731.0,6.7,6.7,6.0,,,4.0,4.0,91.0,0.0,1.0,,,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,O,O,O,O,O,O,N,O,O,O,O,O,O,O
65,tt0054017,last woman on earth,1960,1540.0,4.8,4.8,4.8,,,3.0,5.0,71.0,0.0,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
66,tt0054020,the leech woman,1960,1488.0,4.4,4.4,4.4,,,4.0,3.0,77.0,0.0,0.0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
67,tt0054022,let's make love,1960,6222.0,6.5,6.5,6.7,3.58,,4.0,3.0,119.0,0.0,5.0,,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,N,O,O,O,O,O,O
68,tt0054021,let no man write my epitaph,1960,379.0,7.2,7.2,7.2,,,4.0,1.0,105.0,0.0,1.0,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
69,tt0054033,the little shop of horrors,1960,15133.0,6.3,6.3,9.2,0.03,,4.0,2.0,72.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
70,tt0054038,the lost world,1960,3240.0,5.5,5.5,5.5,1.51,,4.0,3.0,97.0,0.0,1.0,,,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
71,tt0054045,macumba love,1960,49.0,4.9,4.9,4.9,,,4.0,5.0,86.0,0.0,0.0,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
72,tt0054047,the magnificent seven,1960,82944.0,7.7,7.4,8.8,2.0,,4.0,3.0,128.0,1.0,5.0,,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,N,O,O,O,O,O,O
73,tt0054058,man on a string,1960,267.0,6.1,6.1,6.1,,,4.0,4.0,92.0,0.0,0.0,,,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,O,O,O,O,O,O,O,O,O,O,O,O,O,O
74,tt0054082,mice follies,1960,64.0,7.0,7.0,7.0,,,1.0,3.0,6.0,0.0,0.0,,,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
75,tt0054084,midnight lace,1960,4228.0,6.8,6.8,10.0,,,4.0,3.0,103.0,0.0,4.0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,O,O,O,N,O,O,O,O,O,O,O,O,O,O
76,tt0054095,the mountain road,1960,669.0,6.3,6.3,6.3,,,4.0,2.0,102.0,0.0,0.0,,,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
77,tt0054102,"murder, inc.",1960,1089.0,6.6,6.6,6.6,,,4.0,4.0,103.0,0.0,1.0,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,O,O,O,O,O,O,O,O,O,N,O,O,O,O
78,tt0054103,the music box kid,1960,72.0,4.9,4.9,4.9,,,4.0,2.0,75.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
79,tt0054198,never on sunday,1960,4782.0,7.3,7.3,7.8,0.15,,4.0,3.0,97.0,2.0,8.0,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,O,N,O,N,N,O,O,O,O,O,O,O,W,O
80,tt0054126,noose for a gunman,1960,141.0,5.5,5.5,5.5,,,4.0,1.0,69.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
81,tt0054127,north to alaska,1960,6539.0,7.0,7.0,5.0,3.5,,4.0,3.0,122.0,1.0,1.0,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O,O
82,tt0054135,ocean's 11,1960,18543.0,6.6,5.7,5.0,2.8,,4.0,4.0,127.0,0.0,2.0,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,O,O,O,O,O,O,O,O,O,O,O,O,O,O
