,imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms,opening_weekend,gross_box_office
166,tt0053668,bottoms up,1960,85.0,7.2,7.2,7.2,,,4.0,1.0,90.0,0.0,0.0,,
167,tt0054696,the boy who stole a million,1960,48.0,6.1,6.1,6.1,,,4.0,3.0,84.0,0.0,0.0,,
168,tt0053677,the brides of dracula,1960,6162.0,6.7,6.7,7.5,,,4.0,1.0,85.0,0.0,1.0,,0.34
169,tt0053683,the bulldog breed,1960,708.0,6.3,6.3,6.3,,,4.0,1.0,97.0,0.0,0.0,,
170,tt0053699,carry on constable,1960,1966.0,6.3,6.3,6.3,,,4.0,1.0,86.0,0.0,0.0,,
172,tt0053717,circus of horrors,1960,1349.0,6.2,6.2,6.2,,,4.0,2.0,88.0,0.0,0.0,,
173,tt0053719,the city of the dead,1960,5544.0,6.8,6.8,6.7,,,4.0,3.0,78.0,0.0,0.0,,
175,tt0053732,conspiracy of hearts,1960,357.0,7.2,7.2,7.1,,,4.0,2.0,113.0,0.0,0.0,,
177,tt0195618,crossroads to crime,1960,36.0,5.3,5.3,5.3,,,4.0,1.0,57.0,0.0,0.0,,
178,tt0053752,the day they robbed the bank of england,1960,641.0,6.7,6.7,6.7,0.46,,4.0,3.0,85.0,0.0,0.0,,
179,tt0124344,dead lucky,1960,18.0,6.1,6.1,6.1,,,4.0,1.0,64.0,0.0,0.0,,
180,tt0053759,dentist in the chair,1960,91.0,5.1,5.1,5.1,,,4.0,1.0,84.0,0.0,0.0,,
181,tt0204995,depth charge,1960,5.0,5.2,5.2,5.2,,,4.0,1.0,55.0,0.0,0.0,,
182,tt0053775,doctor in love,1960,294.0,5.7,5.7,5.7,,,4.0,1.0,93.0,0.0,0.0,,
183,tt0053796,the entertainer,1960,2659.0,7.1,7.1,7.5,,,4.0,1.0,96.0,1.0,4.0,,
184,tt0053799,escort for hire,1960,7.0,5.6,5.6,5.6,,,4.0,2.0,66.0,0.0,0.0,,
185,tt0053809,faces in the dark,1960,111.0,6.4,6.4,6.4,,,4.0,3.0,84.0,0.0,0.0,,
187,tt0052811,the flesh and the fiends,1960,1390.0,7.0,7.0,7.0,,,4.0,3.0,94.0,0.0,0.0,,
188,tt0199533,follow that horse!,1960,7.0,5.9,5.9,5.9,,,4.0,1.0,80.0,0.0,0.0,,
189,tt0054891,foxhole in cairo,1960,79.0,5.3,5.3,5.3,,,4.0,2.0,80.0,0.0,0.0,,
190,tt0053839,a french mistress,1960,58.0,6.7,6.7,6.7,,,4.0,1.0,98.0,0.0,0.0,,
192,tt0053857,the gentle trap,1960,65.0,4.6,4.6,4.6,,,4.0,1.0,59.0,0.0,0.0,,
193,tt0053890,the hand,1960,175.0,4.9,4.9,4.9,,,4.0,3.0,61.0,0.0,0.0,,
195,tt0054963,the hands of orlac,1960,283.0,5.8,5.8,5.8,,,4.0,3.0,95.0,0.0,0.0,,
196,tt0053900,hell is a city,1960,818.0,7.2,7.2,7.2,,,4.0,2.0,93.0,0.0,0.0,,
198,tt0053952,the house in marsh road,1960,296.0,6.0,6.0,6.0,,,4.0,2.0,70.0,0.0,0.0,,
199,tt0053938,identity unknown,1960,9.0,6.0,6.0,6.0,,,4.0,1.0,66.0,0.0,0.0,,
200,tt0053943,in the nick,1960,18.0,5.2,5.2,5.2,,,4.0,1.0,105.0,0.0,0.0,,
201,tt0053947,inn for trouble,1960,129.0,6.1,6.1,6.1,,,4.0,1.0,90.0,0.0,0.0,,
204,tt0053963,jazz boat,1960,56.0,6.3,6.3,6.3,,,4.0,2.0,96.0,0.0,0.0,,
205,tt0053994,kidnapped,1960,1189.0,6.6,6.6,6.6,,,4.0,4.0,97.0,0.0,0.0,,
206,tt0052997,the league of gentlemen,1960,3381.0,7.3,7.3,8.6,,,4.0,3.0,116.0,1.0,0.0,,
207,tt0195876,let's get married,1960,7.0,8.6,8.6,8.6,,,4.0,2.0,91.0,0.0,0.0,,
209,tt0051863,life is a circus,1960,163.0,7.8,7.8,7.8,,,4.0,1.0,84.0,0.0,0.0,,
212,tt0054049,make mine mink,1960,888.0,7.1,7.1,7.1,,,4.0,1.0,100.0,0.0,0.0,,
213,tt0055133,man in the moon,1960,202.0,6.2,6.2,6.2,,,4.0,2.0,98.0,0.0,0.0,,
215,tt7052018,the man who was nobody,1960,23.0,5.8,5.8,5.8,,,4.0,2.0,58.0,0.0,0.0,,
