,title,year,imdbID,win,nom
311,the george raft story,1961,tt0054918,0,0
312,gidget goes hawaiian,1961,tt0054923,0,0
313,gidget,1961,tt0054923,0,0
314,go naked in the world,1961,tt0054933,0,0
315,gold of the seven saints,1961,tt0054934,0,0
316,goodbye again,1961,tt0054936,0,0
318,greyfriars bobby,1961,tt0054944,0,0
319,gun fight,1961,tt0054951,0,0
320,gun street,1961,tt0056043,0,0
321,the happy thieves,1961,tt0056057,0,0
323,hercules in the haunted world,1961,tt0054850,0,0
324,"hey, let's twist!",1961,tt0054971,0,0
325,homicidal,1961,tt0054988,0,0
326,the honeymoon machine,1961,tt0054989,0,0
327,hoodlum priest,1961,tt0054991,0,0
328,the hustler,1961,tt0054997,0,6
329,judgment at nuremberg,1961,tt0055031,2,7
330,king of kings,1961,tt0055047,0,0
331,the ladies man,1961,tt0055069,0,0
332,the last sunset,1961,tt0055073,0,0
333,the last time i saw archie,1961,tt0055074,0,0
334,the lawbreakers,1961,tt0140320,0,0
335,the little shepherd of kingdom come,1961,tt0055091,0,0
336,the long rope,1961,tt0055095,0,0
337,look in any window,1961,tt0055097,0,0
338,love in a goldfish bowl,1961,tt0055099,0,0
339,lover come back,1961,tt0055100,0,0
340,mad dog coll,1961,tt0055118,0,0
341,madison avenue,1961,tt0056209,0,0
342,a majority of one,1961,tt0055124,0,0
343,man-trap,1961,tt0055134,0,0
344,"marines, let's go",1961,tt0055144,0,0
345,the mark,1961,tt0055146,0,1
346,the marriage-go-round,1961,tt0054064,0,0
347,master of the world,1961,tt0055152,0,0
348,the misfits,1961,tt0055184,0,0
350,misty,1961,tt0055186,0,0
352,most dangerous man alive,1961,tt0055197,0,0
354,mysterious island,1961,tt0055207,0,0
355,the naked edge,1961,tt0055214,0,0
356,night tide,1961,tt0055230,0,0
357,nude on the moon,1961,tt0056293,0,0
358,ole rex,1961,tt0228667,0,0
359,on the double,1961,tt0055253,0,0
360,one-eyed jacks,1961,tt0055257,0,0
361,one hundred and one dalmatians,1961,tt0055254,0,0
362,"one, two, three",1961,tt0055256,0,0
363,operation bottleneck,1961,tt0055260,0,0
364,operation eichmann,1961,tt0055261,0,0
365,the outsider,1961,tt0055270,0,0
366,the parent trap,1961,tt0055277,0,0
367,paris blues,1961,tt0055278,0,0
368,parrish,1961,tt0055279,0,0
369,the phantom planet,1961,tt0055294,0,0
370,pirates of tortuga,1961,tt0055302,0,0
372,the pleasure of his company,1961,tt0055307,0,0
373,pocketful of miracles,1961,tt0055312,0,1
374,police dog story,1961,tt0055316,0,0
375,portrait of a mobster,1961,tt0055317,0,0
376,posse from hell,1961,tt0055318,0,0
377,the purple hills,1961,tt0055343,0,0
378,question 7,1961,tt0055349,0,0
379,a raisin in the sun,1961,tt0055353,0,0
380,reptilicus,1961,tt0056405,0,0
381,return to peyton place,1961,tt0055370,0,0
382,peyton place,1961,tt0055370,0,0
383,the right approach,1961,tt0055373,0,0
384,ring of fire,1961,tt0055374,0,0
385,romanoff and juliet,1961,tt0055383,0,0
387,sail a crooked ship,1961,tt0055394,0,0
388,sanctuary,1961,tt0055402,0,0
389,the second time around,1961,tt0055421,0,0
390,secret of deep harbor,1961,tt0055424,0,0
391,the secret ways,1961,tt0055423,0,0
392,the sergeant was a lady,1961,tt0055434,0,0
394,the silent call,1961,tt0055449,0,0
396,the sins of rachel cade,1961,tt0055453,0,0
397,sniper's ridge,1961,tt0055457,0,0
398,snow white and the three stooges,1961,tt0055458,0,0
399,something wild,1961,tt0055464,0,0
400,splendor in the grass,1961,tt0055471,0,1
401,square of violence,1961,tt0055473,0,0
402,the steel claw,1961,tt0055479,0,0
404,summer and smoke,1961,tt0055489,0,2
405,susan slade,1961,tt0055490,0,0
406,swingin' along,1961,tt0056543,0,0
407,switchin' kitten,1961,tt0055493,0,0
408,tammy tell me true,1961,tt0055503,0,0
409,tammy,1961,tt0055503,0,0
