,imdbID,title,year,n_votes,imdb_rating,box_office,cast,genre,running_time,inflation_factor,box_office_adjusted,metscore,rotten_tomatoes,other_wins,other_noms
277,tt0082971,raiders of the lost ark,1981,832295,8.4,389.9,6.0,2.0,115.0,1.1001100110011002,428.93289328932894,8.5,9.5,31.0,24.0
278,tt0088763,back to the future,1985,968454,8.5,389.1,4.0,3.0,116.0,0.9293680297397772,361.61710037174726,8.7,9.6,19.0,25.0
279,tt0796366,star trek,2009,562142,7.9,385.7,12.0,3.0,127.0,0.4661200632058805,179.7825083785081,8.2,9.4,24.0,93.0
280,tt3606752,cars 3,2017,64233,6.7,383.9,9.0,3.0,102.0,0.40796344647519583,156.61716710182768,5.9,6.9,0.0,23.0
281,tt0337978,live free or die hard,2007,376150,7.1,383.5,5.0,3.0,129.0,0.482392667631452,184.99758803666182,6.9,8.2,3.0,16.0
282,tt0366548,happy feet,2006,161161,6.4,384.3,9.0,4.0,108.0,0.4960317460317461,190.625,7.7,7.6,19.0,26.0
283,tt0892782,monsters vs. aliens,2009,139209,6.4,381.5,8.0,3.0,94.0,0.4661200632058805,177.82480411304346,5.6,7.3,3.0,9.0
284,tt4465564,fifty shades darker,2017,84674,4.6,381.0,7.0,2.0,131.0,0.40796344647519583,155.43407310704958,3.3,1.1,3.0,12.0
285,tt1392190,mad max: fury road,2015,805282,8.1,378.9,9.0,3.0,120.0,0.42191066463587,159.86195083053113,9.0,9.7,233.0,220.0
286,tt0111503,true lies,1994,224778,7.2,378.9,6.0,3.0,141.0,0.6747638326585695,255.668016194332,6.3,7.0,8.0,22.0
287,tt1010048,slumdog millionaire,2008,761376,8.0,377.89,5.0,2.0,120.0,0.4644617120987632,175.5154363850016,8.6,9.1,147.0,129.0
288,tt1583421,g.i. joe: retaliation,2013,167499,5.8,375.7,9.0,4.0,110.0,0.4292637697085728,161.2743982795108,4.1,2.9,1.0,11.0
289,tt1397280,taken 2,2012,277802,6.2,376.1,4.0,2.0,91.0,0.4355514516929884,163.81090098173294,4.5,2.2,1.0,3.0
290,tt0372784,batman begins,2005,1228699,8.2,375.2,10.0,3.0,140.0,0.5120327700972862,192.11469534050175,7.0,8.4,14.0,72.0
291,tt0983193,the adventures of tintin,2011,205547,7.3,374.0,9.0,3.0,107.0,0.4445649709476792,166.267299134432,6.8,7.3,22.0,62.0
292,tt0207201,what women want,2000,183529,6.4,374.1,6.0,3.0,127.0,0.5807200929152149,217.2473867595819,4.7,5.4,5.0,8.0
293,tt0458525,x-men origins: wolverine,2009,445234,6.6,373.1,5.0,4.0,107.0,0.4661200632058805,173.90939558211403,4.0,3.7,3.0,18.0
294,tt0385752,the golden compass,2007,171858,6.1,372.2,8.0,2.0,113.0,0.482392667631452,179.54655089242647,5.1,4.2,6.0,32.0
295,tt4477536,fifty shades freed,2018,47205,4.5,372.0,8.0,3.0,110.0,0.3982366082984544,148.14401828702503,3.1,1.2,6.0,10.0
296,tt0103923,captain america,1990,10564,3.2,370.6,9.0,4.0,124.0,0.7651109410864576,283.55011476664123,,0.7,0.0,0.0
297,tt0458339,captain america: the first avenger,2011,691012,6.9,370.6,9.0,4.0,124.0,0.4445649709476792,164.75577823320992,6.6,8.0,3.0,46.0
298,tt0438488,terminator salvation,2009,328445,6.5,371.4,8.0,2.0,115.0,0.4661200632058805,173.11699147466405,4.9,3.3,2.0,13.0
300,tt1631867,edge of tomorrow,2014,561092,7.9,370.5,4.0,2.0,113.0,0.422411462557448,156.50344687753451,7.1,9.0,11.0,37.0
301,tt0129387,there's something about mary,1998,279022,7.1,370.0,5.0,2.0,119.0,0.6134969325153374,226.99386503067487,6.9,8.3,17.0,15.0
302,tt0163025,jurassic park iii,2001,280350,5.9,368.8,6.0,3.0,92.0,0.564652738565782,208.2439299830604,4.2,4.9,5.0,15.0
303,tt2267998,gone girl,2014,787385,8.1,369.3,4.0,4.0,149.0,0.422411462557448,155.99655312246554,7.9,8.7,64.0,181.0
304,tt0106977,the fugitive,1993,250920,7.8,368.9,6.0,4.0,130.0,0.6920415224913494,255.29411764705884,8.7,9.6,12.0,37.0
305,tt0307453,shark tale,2004,157930,6.0,367.3,6.0,3.0,90.0,0.5293806246691372,194.4415034409741,4.8,3.6,3.0,15.0
306,tt0112864,die hard with a vengeance,1995,347118,7.6,366.1,7.0,3.0,128.0,0.6561679790026247,240.2230971128609,5.8,5.2,2.0,3.0
307,tt0125439,notting hill,1999,252282,7.1,364.0,8.0,3.0,124.0,0.6002400960384154,218.48739495798316,6.8,8.3,11.0,14.0
308,tt2692250,night at the museum: secret of the tomb,2014,96842,6.2,363.2,5.0,2.0,97.0,0.422411462557448,153.4198432008651,4.7,4.7,1.0,4.0
309,tt1959490,noah,2014,233120,5.8,362.6,7.0,4.0,138.0,0.422411462557448,153.16639632333064,6.8,7.6,1.0,18.0
310,tt0120623,a bug's life,1998,251630,7.2,363.3,3.0,3.0,95.0,0.6134969325153374,222.88343558282207,7.7,9.2,14.0,20.0
311,tt0143145,the world is not enough,1999,178741,6.4,362.0,6.0,4.0,125.0,0.6002400960384154,217.2869147659064,5.7,5.2,7.0,12.0
312,tt0952640,alvin and the chipmunks,2007,71462,5.2,361.3,7.0,4.0,92.0,0.482392667631452,174.2884708152436,3.9,2.8,3.0,2.0
313,tt0104431,home alone 2: lost in new york,1992,271294,6.7,359.0,7.0,3.0,120.0,0.7127583749109052,255.880256593015,,3.3,3.0,3.0
314,tt0181689,minority report,2002,478664,7.6,358.4,4.0,4.0,145.0,0.555864369093941,199.22178988326843,8.0,9.0,20.0,89.0
315,tt0837562,hotel transylvania,2012,209947,7.1,358.4,9.0,2.0,91.0,0.4355514516929884,156.10164028676704,4.7,4.4,2.0,14.0
316,tt0918940,the legend of tarzan,2016,154377,6.2,356.7,6.0,3.0,110.0,0.4166545142433346,148.62066523059744,4.4,3.6,2.0,4.0
318,tt0169547,american beauty,1999,1011959,8.3,356.3,8.0,1.0,122.0,0.6002400960384154,213.86554621848742,8.4,8.7,106.0,101.0
319,tt0112384,apollo 13,1995,251415,7.6,355.2,6.0,2.0,140.0,0.6561679790026247,233.07086614173232,7.7,9.5,26.0,58.0
320,tt0095953,rain man,1988,449962,8.0,354.8,3.0,2.0,133.0,0.8453085376162299,299.91546914623837,6.5,9.0,22.0,22.0
321,tt0103772,basic instinct,1992,160566,7.0,352.9,4.0,3.0,128.0,0.7127583749109052,251.53243050605843,4.1,5.3,5.0,21.0
322,tt0128278,instinct,1999,30478,6.6,352.9,4.0,2.0,128.0,0.6002400960384154,211.82472989195682,4.3,2.7,1.0,2.0
323,tt0212985,hannibal,2001,241396,6.8,351.6,6.0,5.0,132.0,0.564652738565782,198.53190287972896,5.7,3.9,8.0,16.0
324,tt3110958,now you see me 2,2016,224808,6.5,334.9,10.0,4.0,129.0,0.4166545142433346,139.53759682009274,4.6,3.4,0.0,4.0
