imdbID,title,year,n_votes,imdb_rating,metscore,rotten_tomatoes,budget,box_office,cast_size,genre_span,running_time,other_wins,other_noms
tt0054390,toby tyler,1960,781.0,7.0,,,,,4,2,96 min,0,0
tt0054393,tormented,1960,1888.0,4.2,,,,,4,2,75 min,0,0
tt0053557,twelve hours to kill,1960,66.0,5.7,,,,,4,2,83 min,0,0
tt0054428,the unforgiven,1960,6747.0,6.7,,,,,4,3,125 min,0,0
tt0054435,valley of the redwoods,1960,6.0,6.2,,,,,4,4,63 min,0,0
tt0054446,visit to a small planet,1960,893.0,6.1,,,,,4,2,85 min,0,0
tt0054453,the wackiest ship in the army,1960,1739.0,6.3,,,,,4,3,99 min,0,0
tt0054455,wake me when it's over,1960,263.0,6.5,,,,,4,1,126 min,0,0
tt0054457,walk like a dragon,1960,96.0,6.7,,,,,4,1,95 min,0,0
tt0054458,walk tall,1960,25.0,6.0,,,,,4,1,61 min,0,0
tt0054459,the walking target,1960,35.0,6.3,,,,,4,2,75 min,0,0
tt0054469,where the boys are,1960,2194.0,6.7,,8.8,,,4,3,99 min,0,2.0
tt0054473,who was that lady?,1960,1096.0,6.7,,,,,4,2,115 min,0,2.0
tt0054474,why must i die?,1960,62.0,5.5,,,,,4,2,86 min,0,0
tt0054475,the wild ride,1960,545.0,4.6,,,,,4,2,61 min,0,0
tt0054476,wild river,1960,4355.0,7.6,,10.0,,,4,3,110 min,2.0,1.0
tt0054483,the world of suzie wong,1960,2007.0,7.0,,3.8,,,4,2,126 min,0,4.0
tt0054489,young jesse james,1960,68.0,5.2,,,,,4,3,73 min,0,0
tt0053967,the young one,1960,2271.0,7.4,,10.0,,,4,1,96 min,1.0,1.0
tt0166983,and the same to you,1960,131.0,5.3,,,,,4,1,70 min,0,0
tt0053602,the angry silence,1960,1062.0,7.2,,8.0,,,4,1,95 min,5.0,5.0
tt0053668,bottoms up,1960,85.0,7.2,,,,,4,1,90 min,0,0
tt0054696,the boy who stole a million,1960,48.0,6.1,,,,,4,3,84 min,0,0
tt0053677,the brides of dracula,1960,6162.0,6.7,,7.5,,,4,1,85 min,0,1.0
tt0053683,the bulldog breed,1960,708.0,6.3,,,,,4,1,97 min,0,0
tt0053699,carry on constable,1960,1966.0,6.3,,,,,4,1,86 min,0,0
tt0053717,circus of horrors,1960,1349.0,6.2,,,,,4,2,88 min,0,0
tt0053719,the city of the dead,1960,5544.0,6.8,,6.7,,,4,3,78 min,0,0
tt0053732,conspiracy of hearts,1960,357.0,7.2,,7.1,,,4,2,113 min,0,0
tt0195618,crossroads to crime,1960,36.0,5.3,,,,,4,1,57 min,0,0
tt0053752,the day they robbed the bank of england,1960,641.0,6.7,,,,,4,3,85 min,0,0
tt0124344,dead lucky,1960,18.0,6.1,,,,,4,1,64 min,0,0
tt0053759,dentist in the chair,1960,91.0,5.1,,,,,4,1,84 min,0,0
tt0204995,depth charge,1960,5.0,5.2,,,,,4,1,55 min,0,0
tt0053775,doctor in love,1960,294.0,5.7,,,,,4,1,93 min,0,0
tt0053796,the entertainer,1960,2659.0,7.1,,7.5,,,4,1,96 min,1.0,4.0
tt0053799,escort for hire,1960,7.0,5.6,,,,,4,2,66 min,0,0
tt0053809,faces in the dark,1960,111.0,6.4,,,,,4,3,84 min,0,0
tt0052811,the flesh and the fiends,1960,1390.0,7.0,,,,,4,3,94 min,0,0
tt0199533,follow that horse!,1960,7.0,5.9,,,,,4,1,80 min,0,0
tt0054891,foxhole in cairo,1960,79.0,5.3,,,,,4,2,80 min,0,0
tt0053839,a french mistress,1960,58.0,6.7,,,,,4,1,98 min,0,0
tt0053857,the gentle trap,1960,65.0,4.6,,,,,4,1,59 min,0,0
tt0053890,the hand,1960,175.0,4.9,,,,,4,3,61 min,0,0
tt0054963,the hands of orlac,1960,283.0,5.8,,,,,4,3,95 min,0,0
tt0053900,hell is a city,1960,818.0,7.2,,,,,4,2,93 min,0,0
tt0053952,the house in marsh road,1960,296.0,6.0,,,,,4,2,70 min,0,0
tt0053938,identity unknown,1960,9.0,6.0,,,,,4,1,66 min,0,0
tt0053943,in the nick,1960,18.0,5.2,,,,,4,1,105 min,0,0
tt0053947,inn for trouble,1960,129.0,6.1,,,,,4,1,90 min,0,0
tt0053963,jazz boat,1960,56.0,6.3,,,,,4,2,96 min,0,0
tt0053994,kidnapped,1960,1189.0,6.6,,,,,4,4,97 min,0,0
